Freq.	V(n61p1)
1.00000000000000e+01	(1.37122218411463e+01dB,-1.65190152278066e-02°)
1.00230523807790e+01	(1.37122208801355e+01dB,-1.65570940893318e-02°)
1.00461579027839e+01	(1.37122199144488e+01dB,-1.65952584190745e-02°)
1.00693166885180e+01	(1.37122189451454e+01dB,-1.66335144335516e-02°)
1.00925288607668e+01	(1.37122179923443e+01dB,-1.66718572229282e-02°)
1.01157945425990e+01	(1.37122170179584e+01dB,-1.67102862775554e-02°)
1.01391138573668e+01	(1.37122160546868e+01dB,-1.67488060210960e-02°)
1.01624869287070e+01	(1.37122150969847e+01dB,-1.67874138868064e-02°)
1.01859138805412e+01	(1.37122141233505e+01dB,-1.68261106566776e-02°)
1.02093948370768e+01	(1.37122131625192e+01dB,-1.68648985994509e-02°)
1.02329299228075e+01	(1.37122121874012e+01dB,-1.69037727704132e-02°)
1.02565192625141e+01	(1.37122112259618e+01dB,-1.69427386746025e-02°)
1.02801629812647e+01	(1.37122102316610e+01dB,-1.69817935698791e-02°)
1.03038612044162e+01	(1.37122092585756e+01dB,-1.70209382702069e-02°)
1.03276140576140e+01	(1.37122083037443e+01dB,-1.70601742530145e-02°)
1.03514216667934e+01	(1.37122073245368e+01dB,-1.70995008956496e-02°)
1.03752841581801e+01	(1.37122063551564e+01dB,-1.71389177787949e-02°)
1.03992016582906e+01	(1.37122053621713e+01dB,-1.71784236070582e-02°)
1.04231742939330e+01	(1.37122043946921e+01dB,-1.72180223336011e-02°)
1.04472021922080e+01	(1.37122034037980e+01dB,-1.72577102220157e-02°)
1.04712854805090e+01	(1.37122024171981e+01dB,-1.72974935571431e-02°)
1.04954242865232e+01	(1.37122014373523e+01dB,-1.73373664266175e-02°)
1.05196187382322e+01	(1.37122004513309e+01dB,-1.73773309571766e-02°)
1.05438689639126e+01	(1.37121994780448e+01dB,-1.74173884628511e-02°)
1.05681750921366e+01	(1.37121984853368e+01dB,-1.74575372476909e-02°)
1.05925372517729e+01	(1.37121974805331e+01dB,-1.74977792529500e-02°)
1.06169555719872e+01	(1.37121965164118e+01dB,-1.75381138071478e-02°)
1.06414301822431e+01	(1.37121955028220e+01dB,-1.75785410172717e-02°)
1.06659612123026e+01	(1.37121945313728e+01dB,-1.76190623004520e-02°)
1.06905487922266e+01	(1.37121935503830e+01dB,-1.76596762475834e-02°)
1.07151930523761e+01	(1.37121925496834e+01dB,-1.77003840474240e-02°)
1.07398941234124e+01	(1.37121915473901e+01dB,-1.77411851943661e-02°)
1.07646521362983e+01	(1.37121905643909e+01dB,-1.77820808302848e-02°)
1.07894672222983e+01	(1.37121895613080e+01dB,-1.78230712518092e-02°)
1.08143395129794e+01	(1.37121885735468e+01dB,-1.78641566257142e-02°)
1.08392691402120e+01	(1.37121875772280e+01dB,-1.79053335692321e-02°)
1.08642562361706e+01	(1.37121865623801e+01dB,-1.79466076070711e-02°)
1.08893009333343e+01	(1.37121855737467e+01dB,-1.79879777348520e-02°)
1.09144033644875e+01	(1.37121845557305e+01dB,-1.80294412610356e-02°)
1.09395636627209e+01	(1.37121835734894e+01dB,-1.80710027307949e-02°)
1.09647819614318e+01	(1.37121825603527e+01dB,-1.81126571323635e-02°)
1.09900583943252e+01	(1.37121815386182e+01dB,-1.81544088735970e-02°)
