Freq.	V(n61p1)
1.00000000000000e+01	(1.36965133486671e+01dB,-1.71004248097279e-02°)
1.00230523807790e+01	(1.36965123932967e+01dB,-1.71398438864964e-02°)
1.00461579027839e+01	(1.36965114228951e+01dB,-1.71793520366673e-02°)
1.00693166885180e+01	(1.36965104556097e+01dB,-1.72189528455202e-02°)
1.00925288607668e+01	(1.36965094922661e+01dB,-1.72586446972894e-02°)
1.01157945425990e+01	(1.36965085444070e+01dB,-1.72984283269500e-02°)
1.01391138573668e+01	(1.36965075784666e+01dB,-1.73383030935418e-02°)
1.01624869287070e+01	(1.36965066256876e+01dB,-1.73782697923776e-02°)
1.01859138805412e+01	(1.36965056451793e+01dB,-1.74183291763528e-02°)
1.02093948370768e+01	(1.36965046805842e+01dB,-1.74584812742212e-02°)
1.02329299228075e+01	(1.36965037162389e+01dB,-1.74987250841239e-02°)
1.02565192625141e+01	(1.36965027581210e+01dB,-1.75390618329518e-02°)
1.02801629812647e+01	(1.36965017592439e+01dB,-1.75794910158288e-02°)
1.03038612044162e+01	(1.36965007932671e+01dB,-1.76200140039510e-02°)
1.03276140576140e+01	(1.36964998352971e+01dB,-1.76606310994747e-02°)
1.03514216667934e+01	(1.36964988646278e+01dB,-1.77013423658226e-02°)
1.03752841581801e+01	(1.36964978890608e+01dB,-1.77421452366554e-02°)
1.03992016582906e+01	(1.36964968982375e+01dB,-1.77830426640024e-02°)
1.04231742939330e+01	(1.36964959392319e+01dB,-1.78240349079322e-02°)
1.04472021922080e+01	(1.36964949397446e+01dB,-1.78651203012899e-02°)
1.04712854805090e+01	(1.36964939605455e+01dB,-1.79063030319105e-02°)
1.04954242865232e+01	(1.36964929767898e+01dB,-1.79475783633305e-02°)
1.05196187382322e+01	(1.36964920121057e+01dB,-1.79889503720419e-02°)
1.05438689639126e+01	(1.36964910294810e+01dB,-1.80304173485236e-02°)
1.05681750921366e+01	(1.36964900383988e+01dB,-1.80719793309293e-02°)
1.05925372517729e+01	(1.36964890435104e+01dB,-1.81136378289539e-02°)
1.06169555719872e+01	(1.36964880710122e+01dB,-1.81553917042586e-02°)
1.06414301822431e+01	(1.36964870573403e+01dB,-1.81972417825674e-02°)
1.06659612123026e+01	(1.36964860849967e+01dB,-1.82391890454321e-02°)
